filenames,AU.01.a,AU.01.b,AU.02,AU.04,AU.05.c,AU.05.d,AU.14,AU.14.a,AU.14.b,AU.15,AU.15.a,AU.15.a.01,AU.15.a.02,AU.15.a.03,AU.16,AU.17,AU.18,AU.18.a,AU.18.b,AU.19,AU.20,AU.21,AU.21.a,AU.21.b,AU.22,AU.22.a,AU.22.b,AU.23,AU.24,AU.25,AU.25.a,AU.25.b,AU.25.c,AU.26,AU.31,AU.31.a,AU.31.a.01,AU.32,AU.32.a,AU.32.b,AU.34.a,AU.35,AU.36.a,AU.37,AU.37.a,AU.37.b,AU.37.d,AU.37.e,AU.37.f,AU.37.g,AU.37.h,AU.37.i,AU.40,AU.40.a,AU.40.b,AU.42,AU.43,AU.43.a,AU.43.a.01,AU.43.a.02,AU.44,AU.45,AU.46,AU.46.a
Anon.1KingJohn.A04520,0,0,1,19,0,0,15,1,0,36,15,0,4,1,1,4,3,0,1,0,1,11,0,2,14,0,2,3,3,13,5,0,0,4,14,3,1,20,18,0,1,1,0,29,0,1,10,0,0,0,0,1,8,0,6,1,20,3,0,0,2,0,11,4
Anon.2KingJohn.A04520,2,2,1,34,0,2,37,6,0,76,34,0,13,2,2,5,5,0,2,0,6,18,1,4,29,5,6,3,4,39,17,0,3,10,25,5,2,43,32,6,2,3,0,78,5,7,23,0,0,0,0,1,23,0,18,4,55,15,0,2,13,5,47,17
Anon.FamousVictoriesHenryV,0,0,0,6,0,0,10,0,0,38,27,0,13,0,0,0,2,0,0,0,1,4,2,0,6,1,1,0,0,4,0,0,0,0,7,4,2,4,3,0,0,0,0,20,0,3,3,0,0,0,0,0,3,0,0,2,13,3,0,3,4,1,6,3
Anon.JackStraw.A13062,0,0,1,9,0,0,8,2,0,19,10,0,4,0,0,3,1,0,1,0,1,1,0,0,9,0,1,1,1,12,6,1,0,0,6,1,0,13,8,4,0,1,3,19,3,3,2,0,0,0,1,0,3,0,2,3,17,2,0,0,7,3,26,14
Anon.KingEdwardIII.A21144,2,7,10,23,0,0,27,3,0,48,23,2,9,4,1,7,1,0,1,0,0,20,1,6,25,4,2,1,4,18,1,0,4,4,16,1,1,29,22,5,2,2,0,64,11,6,18,1,0,0,1,1,33,1,20,7,56,13,1,5,19,7,42,9
Anon.NobodyAndSomebody.A08262,0,0,1,12,0,0,20,6,0,48,27,0,11,0,0,3,4,2,0,0,5,6,1,0,16,0,7,3,5,13,2,2,3,6,23,16,9,4,2,0,0,0,0,62,7,6,17,0,0,0,1,0,25,1,5,7,17,4,0,2,2,4,15,6
Anon.RichardIIWoodstock,0,3,7,17,0,0,19,4,0,68,34,0,12,0,0,3,5,1,1,0,4,21,1,4,19,1,3,1,5,21,3,0,5,2,10,3,0,7,4,0,3,2,0,35,5,6,14,0,0,0,0,0,11,0,4,1,80,25,0,10,7,2,39,11
Anon.TheWasp,0,0,1,13,0,0,20,1,0,44,37,0,6,0,1,2,4,1,0,0,1,25,0,5,13,0,5,11,3,14,2,0,5,2,8,2,1,6,5,0,0,2,0,51,6,5,15,0,2,0,6,4,22,0,7,4,34,8,0,2,8,4,18,11
Anon.TrialOfChivalry.A68191,1,0,1,37,0,0,35,7,0,53,33,1,13,3,4,5,5,1,1,0,0,12,3,3,24,3,2,3,3,19,3,0,1,2,47,11,0,20,12,2,3,3,3,30,8,6,6,0,0,0,1,0,14,2,3,6,42,2,0,1,7,7,24,10
Anon.TrueTragedieRichardIII,1,0,3,13,0,0,35,5,0,53,27,0,3,2,2,3,4,2,0,0,2,8,1,1,15,0,1,1,2,16,6,1,1,3,24,2,0,38,29,6,3,5,2,20,2,3,1,0,0,0,2,0,22,0,11,1,44,16,0,3,20,3,47,25
Dekker.SirThomasWyatt.A20096,1,1,3,9,0,0,10,0,0,36,20,0,11,0,0,2,1,0,1,0,0,3,0,0,6,0,0,2,1,5,0,1,1,2,7,3,1,9,5,4,0,1,0,29,3,4,9,0,0,0,0,0,7,0,2,3,22,7,0,4,7,4,14,5
Drue.DuchessOfSuffolk.A20866,0,1,4,23,0,0,34,4,0,63,23,0,10,1,0,18,6,0,3,0,2,8,0,3,20,0,1,3,4,9,4,0,1,2,20,7,3,15,8,0,1,9,3,29,7,3,9,0,1,2,0,0,20,1,2,1,35,14,0,3,9,3,28,14
Fisher.FusimusTroes,3,2,4,24,0,0,18,4,0,50,27,4,14,4,1,2,3,0,1,0,5,16,1,0,17,0,6,4,12,41,12,1,7,7,9,0,0,18,3,0,0,7,1,36,5,9,4,0,0,0,0,0,13,1,4,4,54,20,0,4,9,6,52,23
Ford.PerkwinWarbeck.A01047,0,0,4,24,0,0,23,3,0,39,13,0,3,2,1,11,5,1,0,0,2,8,0,5,12,0,1,1,2,14,3,0,5,2,17,3,3,15,9,0,0,4,3,38,13,8,5,0,1,0,4,0,12,0,4,2,31,13,0,2,11,3,27,17
Heywood.1IfYouKnotNotMe.A03208,0,0,2,6,0,1,20,2,0,50,31,0,14,0,0,3,3,0,0,0,1,6,0,2,10,0,2,4,1,8,0,0,1,3,9,1,0,7,6,0,0,0,0,40,7,6,14,0,0,0,0,0,12,0,1,0,19,6,0,4,14,3,17,12
Heywood.1KingEdwardIV.A03224,0,0,1,23,0,0,22,0,0,41,28,0,7,0,1,5,4,0,2,0,0,5,0,2,29,6,7,4,3,15,2,0,3,1,11,3,0,10,7,2,0,2,0,54,4,9,20,0,0,0,0,0,21,2,6,1,44,13,0,5,14,17,46,23
Heywood.2IfYouKnowNotMe.A03217,1,1,2,22,0,1,17,0,0,36,24,0,8,0,1,2,4,0,0,0,43,8,0,7,31,1,6,1,0,7,1,1,1,0,10,5,3,7,6,1,0,2,0,24,2,3,4,0,2,0,1,0,11,0,6,2,20,5,0,2,6,2,24,13
Heywood.2KingEdwardIV.A03224,1,1,6,22,0,0,43,6,0,83,43,2,18,2,1,20,6,0,1,0,1,14,1,2,27,2,2,3,4,17,1,1,7,1,30,7,2,10,9,0,1,5,2,38,5,7,14,0,0,0,0,0,44,3,25,6,45,7,0,3,9,5,37,17
Marlowe.EdwardII.A07018,4,0,0,21,0,1,26,6,0,101,48,2,22,3,1,11,4,1,1,0,1,13,3,2,29,4,7,7,1,31,5,0,4,6,29,7,2,20,14,3,3,1,0,71,5,3,17,0,0,2,0,0,14,0,4,0,49,4,0,0,11,1,43,14
Munday.1SirJohnOldcastle.A08469,0,0,1,27,1,0,25,4,0,20,9,0,2,0,2,1,11,1,1,0,1,5,0,3,17,1,3,1,3,19,8,2,1,0,19,5,4,19,7,8,0,5,2,41,6,10,9,0,0,0,2,0,11,0,6,2,36,9,0,3,20,5,21,13
Munday.DeathOfRobert.A07897,0,2,4,35,0,0,34,3,0,148,66,2,37,1,2,22,4,1,2,0,3,11,0,1,22,1,4,6,1,16,8,1,1,1,27,14,7,13,10,2,7,3,1,42,4,6,7,0,0,0,0,2,30,0,18,2,39,6,0,4,11,4,31,9
Munday.Downfall&DeathRobertEarl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peele.EdwardI.A09224,1,2,0,12,0,2,33,3,0,58,30,1,3,3,4,2,4,1,1,0,0,11,1,1,30,3,1,4,6,20,4,2,5,2,19,11,10,16,10,3,0,3,3,61,5,5,12,0,0,0,0,0,14,0,5,4,33,10,0,6,14,4,35,18
Rowley.WhenYouSeeMe.A11146,0,0,0,18,0,1,27,3,0,57,28,1,4,0,1,18,13,1,1,0,1,10,4,0,20,0,4,8,2,25,4,0,7,3,18,6,3,12,7,1,0,1,0,93,14,14,22,0,1,0,2,2,12,0,3,1,41,4,0,3,6,1,41,11
SW.SirThomasCromwell.A11265,0,0,2,12,0,0,20,0,0,48,21,0,6,0,1,5,5,3,0,0,3,7,2,3,11,0,2,3,3,9,0,1,1,0,12,5,0,7,5,0,0,9,1,9,0,3,2,0,0,0,0,0,2,0,2,0,11,2,0,1,6,5,13,7
