filenames,AU.01.a,AU.01.b,AU.02,AU.04,AU.05,AU.05.a,AU.05.b,AU.06,AU.07,AU.07.a,AU.08,AU.09,AU.10,AU.10.a,AU.11,AU.11.a,AU.11.b,AU.11.c,AU.12,AU.12.a,AU.13,AU.13.a,AU.27,AU.27.a,AU.27.b,AU.27.c,AU.27.d,AU.28,AU.28.a,AU.28.b,AU.29,AU.29.a,AU.29.b,AU.29.c,AU.29.d,AU.30,AU.34,AU.36,AU.37.c,AU.47,AU.47.a,AU.47.a.01,AU.47.b,AU.47.c,AU.47.d
Henry IV - Part 1,1,1,2,25,7,0,1,7,14,13,26,4,10,0,15,4,0,0,13,9,23,20,127,43,15,36,6,10,5,4,61,2,24,1,1,40,17,11,10,99,35,0,1,0,0
Henry IV - Part 2,1,1,2,26,6,0,0,8,27,21,38,2,5,0,34,2,0,7,32,24,10,7,114,41,9,34,11,11,1,9,57,1,28,0,0,46,21,14,2,71,16,0,2,0,3
Henry V,1,0,2,24,2,0,0,4,20,18,29,5,8,0,26,3,0,6,13,7,9,7,138,61,16,27,7,17,3,14,71,0,25,3,2,43,34,18,9,85,33,0,1,0,2
Henry VI - Part 1,0,0,6,25,5,2,0,6,14,12,36,5,12,0,32,11,0,6,10,3,3,2,63,22,6,7,14,13,9,3,71,0,30,5,1,40,25,7,7,89,36,0,1,3,1
Henry VI - Part 2,0,1,4,34,3,1,0,13,31,18,39,3,10,0,40,8,0,9,7,5,8,5,72,14,9,18,9,15,4,10,50,0,21,0,1,21,31,24,14,55,22,0,0,0,1
Henry VI - Part 3,0,1,4,28,2,0,0,5,25,12,43,8,13,0,38,8,0,15,17,4,8,7,91,21,11,9,20,18,7,10,84,0,45,1,0,57,47,15,3,80,30,0,0,2,3
Henry VIII,1,3,6,17,4,1,1,9,45,41,67,5,12,0,55,11,1,12,12,8,7,4,129,48,7,30,14,16,6,9,77,1,36,1,1,55,37,41,3,67,15,0,1,0,3
King John,1,0,3,40,6,0,1,13,8,7,38,2,10,1,33,9,0,5,11,5,8,8,105,46,10,14,12,17,8,9,62,1,15,3,1,41,20,9,8,92,22,0,6,2,3
Richard II,0,1,6,16,2,0,1,6,19,14,36,5,13,0,58,6,0,13,8,4,7,6,99,15,16,27,14,15,4,11,52,0,20,2,0,32,29,14,12,41,10,1,3,1,0
Richard III,2,3,14,31,5,2,0,11,33,25,54,7,5,0,83,10,0,14,20,7,7,5,192,67,23,24,32,25,10,8,103,1,16,8,3,66,35,27,7,64,32,0,0,0,3
