"SEMTAG"	"S.Count"	"S.Total_Emotion"	"Non.S.Count"	"Non.S.Total_Emotion"	"significance"
"1"	"AU.05.c"	0	15053	1	27762	1
"2"	"AU.05.d"	18	15053	13	27762	0.012911639287704
"3"	"AU.14"	372	15053	584	27762	0.018142821104321
"4"	"AU.14.a"	80	15053	82	27762	0.00026098987051416
"5"	"AU.14.b"	2	15053	0	27762	0.123626150100056
"6"	"AU.15"	1002	15053	1277	27762	3.22130792370991e-17
"7"	"AU.15.a"	566	15053	645	27762	4.02272922397771e-16
"8"	"AU.15.a.01"	30	15053	14	27762	1.00638359089141e-05
"9"	"AU.15.a.02"	288	15053	241	27762	2.58494945597243e-19
"10"	"AU.15.a.03"	16	15053	26	27762	0.746901208963827
"11"	"AU.16"	20	15053	31	27762	0.558978534957095
"12"	"AU.17"	86	15053	180	27762	0.367196600790278
"13"	"AU.18"	64	15053	121	27762	0.93852276867689
"14"	"AU.18.a"	5	15053	14	27762	0.481215182020267
"15"	"AU.18.b"	2	15053	28	27762	0.000436839823694841
"16"	"AU.19"	0	15053	0	27762	1
"17"	"AU.20"	20	15053	82	27762	0.000810971392959269
"18"	"AU.21"	161	15053	220	27762	0.00428175524484453
"19"	"AU.21.a"	16	15053	19	27762	0.215639613114397
"20"	"AU.21.b"	49	15053	59	27762	0.0335809778922765
"21"	"AU.22"	239	15053	464	27762	0.550293635596664
"22"	"AU.22.a"	25	15053	35	27762	0.343448891091867
"23"	"AU.22.b"	39	15053	72	27762	1
"24"	"AU.23"	68	15053	79	27762	0.00559462046462396
"25"	"AU.24"	78	15053	72	27762	3.30890884807014e-05
"26"	"AU.25"	313	15053	416	27762	1.6707880542473e-05
"27"	"AU.25.a"	55	15053	106	27762	0.868692327019728
"28"	"AU.25.b"	15	15053	17	27762	0.19459944658966
"29"	"AU.25.c"	67	15053	70	27762	0.00117191187855888
"30"	"AU.26"	68	15053	58	27762	2.08946726141859e-05
"31"	"AU.31"	327	15053	436	27762	1.51117947333612e-05
"32"	"AU.31.a"	71	15053	139	27762	0.717535016321687
"33"	"AU.31.a.01"	29	15053	59	27762	0.73783159393543
"34"	"AU.32"	283	15053	353	27762	1.45050027139769e-06
"35"	"AU.32.a"	188	15053	242	27762	0.000305448770797944
"36"	"AU.32.b"	33	15053	49	27762	0.355006912481917
"37"	"AU.34.a"	22	15053	23	27762	0.0609897760951337
"38"	"AU.35"	66	15053	65	27762	0.00045010285373917
"39"	"AU.36.a"	8	15053	34	27762	0.034310721518523
"40"	"AU.37"	564	15053	1046	27762	0.936435270536956
"41"	"AU.37.a"	69	15053	139	27762	0.610428319272926
"42"	"AU.37.b"	106	15053	137	27762	0.00695911725463208
"43"	"AU.37.d"	132	15053	254	27762	0.70817251546013
"44"	"AU.37.e"	7	15053	1	27762	0.00368190301693959
"45"	"AU.37.f"	1	15053	7	27762	0.274692878042841
"46"	"AU.37.g"	4	15053	4	27762	0.463778131717177
"47"	"AU.37.h"	11	15053	18	27762	0.846067122382536
"48"	"AU.37.i"	26	15053	12	27762	4.67791030314636e-05
"49"	"AU.40"	334	15053	399	27762	9.09867198181002e-09
"50"	"AU.40.a"	9	15053	14	27762	0.668582215075557
"51"	"AU.40.b"	188	15053	174	27762	9.80519150687032e-11
"52"	"AU.42"	30	15053	69	27762	0.343818216995665
"53"	"AU.43"	636	15053	808	27762	7.87649210858355e-12
"54"	"AU.43.a"	188	15053	188	27762	5.10221868503073e-09
"55"	"AU.43.a.01"	2	15053	1	27762	0.283937662972107
"56"	"AU.43.a.02"	73	15053	67	27762	4.06734524751865e-05
"57"	"AU.44"	109	15053	246	27762	0.0835513334925382
"58"	"AU.45"	138	15053	104	27762	6.68002887460278e-12
"59"	"AU.46"	515	15053	711	27762	1.03751722991786e-06
"60"	"AU.46.a"	182	15053	311	27762	0.420285755757671
