"","SEMTAG","S.Count","S.Total_All","Non.S.Count","Non.S.Total_All","significance"
"1","AU.05.c",0,261335,1,506104,1
"2","AU.05.d",18,261335,13,506104,0.00712436487998284
"3","AU.14",372,261335,584,506104,0.00167555645585409
"4","AU.14.a",80,261335,82,506104,6.16083576949234e-05
"5","AU.14.b",2,261335,0,506104,0.1159606689502
"6","AU.15",1002,261335,1277,506104,1.46361277055763e-22
"7","AU.15.a",566,261335,645,506104,9.5081387624517e-20
"8","AU.15.a.01",30,261335,14,506104,7.08796963309762e-06
"9","AU.15.a.02",288,261335,241,506104,1.20733777854573e-21
"10","AU.15.a.03",16,261335,26,506104,0.625894594076014
"11","AU.16",20,261335,31,506104,0.461125205107612
"12","AU.17",86,261335,180,506104,0.604758152996554
"13","AU.18",64,261335,121,506104,0.876890127844925
"14","AU.18.a",5,261335,14,506104,0.630186563116751
"15","AU.18.b",2,261335,28,506104,0.000767752287574336
"16","AU.19",0,261335,0,506104,1
"17","AU.20",20,261335,82,506104,0.00163276683710592
"18","AU.21",161,261335,220,506104,0.000947856487707441
"19","AU.21.a",16,261335,19,506104,0.155542695534649
"20","AU.21.b",49,261335,59,506104,0.0147586006627076
"21","AU.22",239,261335,464,506104,1
"22","AU.22.a",25,261335,35,506104,0.221644579180122
"23","AU.22.b",39,261335,72,506104,0.841363858976491
"24","AU.23",68,261335,79,506104,0.00224933610002085
"25","AU.24",78,261335,72,506104,8.73980066320066e-06
"26","AU.25",313,261335,416,506104,6.47346049013969e-07
"27","AU.25.a",55,261335,106,506104,1
"28","AU.25.b",15,261335,17,506104,0.137196804993012
"29","AU.25.c",67,261335,70,506104,0.000396334114063161
"30","AU.26",68,261335,58,506104,4.92504088551318e-06
"31","AU.31",327,261335,436,506104,5.15197346904514e-07
"32","AU.31.a",71,261335,139,506104,1
"33","AU.31.a.01",29,261335,59,506104,0.910572673261263
"34","AU.32",283,261335,353,506104,5.92277325500855e-08
"35","AU.32.a",188,261335,242,506104,3.53559497245581e-05
"36","AU.32.b",33,261335,49,506104,0.244935966599578
"37","AU.34.a",22,261335,23,506104,0.0408958337147061
"38","AU.35",66,261335,65,506104,0.000137027598744278
"39","AU.36.a",8,261335,34,506104,0.0493560567136796
"40","AU.37",564,261335,1046,506104,0.414510052974578
"41","AU.37.a",69,261335,139,506104,0.826487201542881
"42","AU.37.b",106,261335,137,506104,0.00224307427801418
"43","AU.37.d",132,261335,254,506104,0.957185841505446
"44","AU.37.e",7,261335,1,506104,0.00298231272354481
"45","AU.37.f",1,261335,7,506104,0.279065626868949
"46","AU.37.g",4,261335,4,506104,0.457097053250718
"47","AU.37.h",11,261335,18,506104,0.6965833521509
"48","AU.37.i",26,261335,12,506104,1.89301646933017e-05
"49","AU.40",334,261335,399,506104,1.3185348706801e-10
"50","AU.40.a",9,261335,14,506104,0.66135868880066
"51","AU.40.b",188,261335,174,506104,3.42556389815441e-12
"52","AU.42",30,261335,69,506104,0.459636898664125
"53","AU.43",636,261335,808,506104,4.57334795262444e-15
"54","AU.43.a",188,261335,188,506104,2.63462215550568e-10
"55","AU.43.a.01",2,261335,1,506104,0.268905538786284
"56","AU.43.a.02",73,261335,67,506104,1.47553136237254e-05
"57","AU.44",109,261335,246,506104,0.197615387997481
"58","AU.45",138,261335,104,506104,3.68533674116204e-13
"59","AU.46",515,261335,711,506104,7.79813259839590e-09
"60","AU.46.a",182,261335,311,506104,0.183311525950976
