"","X","S.Count","S.Total_All","Non.S.Count","Non.S.Total_All","significance"
"1","AU.05",54,261335,59,506104,0.00276495733916356
"2","AU.05.a",6,261335,4,506104,0.0997327853261097
"3","AU.05.b",6,261335,16,506104,0.654121809192811
"4","AU.06",105,261335,144,506104,0.00894718481110103
"5","AU.07",285,261335,337,506104,1.53663728410454e-09
"6","AU.07.a",227,261335,267,506104,5.28825815775513e-08
"7","AU.08",494,261335,977,506104,0.720394328403186
"8","AU.09",61,261335,64,506104,0.000872098352658793
"9","AU.10",118,261335,234,506104,0.866081050123643
"10","AU.10.a",1,261335,0,506104,0.340529552798916
"11","AU.11",468,261335,772,506104,0.00693325685177714
"12","AU.11.a",83,261335,198,506104,0.11563293953741
"13","AU.11.b",1,261335,9,506104,0.180066135212833
"14","AU.11.c",98,261335,160,506104,0.188996027765415
"15","AU.12",167,261335,347,506104,0.485001660604186
"16","AU.12.a",90,261335,167,506104,0.742373921838461
"17","AU.13",120,261335,176,506104,0.0197532714761983
"18","AU.13.a",87,261335,132,506104,0.0867194833112092
"19","AU.27",1381,261335,2522,506104,0.0811855162380157
"20","AU.27.a",469,261335,810,506104,0.0512812642018225
"21","AU.27.b",154,261335,270,506104,0.330297243360677
"22","AU.27.c",265,261335,457,506104,0.135540114691869
"23","AU.27.d",151,261335,241,506104,0.0697591169847732
"24","AU.28",194,261335,235,506104,1.93456948255921e-06
"25","AU.28.a",64,261335,120,506104,0.87638960360734
"26","AU.28.b",114,261335,101,506104,1.31174717582501e-08
"27","AU.29",878,261335,1722,506104,0.771696140452474
"28","AU.29.a",8,261335,11,506104,0.473506771593286
"29","AU.29.b",344,261335,616,506104,0.246743261563184
"30","AU.29.c",27,261335,59,506104,0.650244428028502
"31","AU.29.d",10,261335,21,506104,1
"32","AU.30",558,261335,1477,506104,1.50411099274443e-10
"33","AU.34",341,261335,638,506104,0.612815345678685
"34","AU.36",207,261335,517,506104,0.00191775339214593
"35","AU.37.c",76,261335,146,506104,0.943657419060208
"36","AU.47",884,261335,1330,506104,8.67976584937287e-09
"37","AU.47.a",294,261335,433,506104,0.000360099233324393
"38","AU.47.a.01",1,261335,0,506104,0.340529552798916
"39","AU.47.b",16,261335,27,506104,0.633775390905496
"40","AU.47.c",8,261335,7,506104,0.169821108246313
"41","AU.47.d",22,261335,47,506104,0.799738685180354
